restaurant_names,restaurant_locations,costs_for_2,cusisines,ratings,restaurant_imgs,restaurant_pages
Breakin' Brew,"Karkardooma, East Delhi",₹ 700,"American,Chinese,European,Italian",4.6,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F672164%2Frestaurant020201201091615.jpg,https://www.eazydiner.com/delhi-ncr/breakin-brew-karkardooma-east-delhi-672164?deal_types[]=postpaid
Longitude Bar,"Le Meridien, Gurgaon",₹ 1700,Cocktail Menu,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F113298%2Frestaurant020180604041601.jpg,https://www.eazydiner.com/delhi-ncr/longitude-bar-le-meridien-mg-road-113298?deal_types[]=postpaid
Connexions,"Crowne Plaza, Gurgaon",₹ 2500,Cocktail Menu,4.7,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F112259%2Frestaurant020200228084329.jpg,https://www.eazydiner.com/delhi-ncr/connexions-sector-29-112259?deal_types[]=postpaid
Pind Balluchi,"Udyog Vihar, Gurgaon",₹ 800,"Chinese,Mughlai,North Indian",5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F665333%2Frestaurant620190620060126.jpg,https://www.eazydiner.com/delhi-ncr/pind-balluchi-udyog-vihar-gurgaon-665333?deal_types[]=postpaid
The Brew Bar,Radisson Gurugram Udyog Vihar,₹ 2000,Finger Food,4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F648555%2Frestaurant220180214104854.jpg,https://www.eazydiner.com/delhi-ncr/the-brew-bar-radisson-gurugram-udyog-vihar-648555?deal_types[]=postpaid
The Bridge Restaurant,DS Clarks Inn Gurgaon,₹ 2000,Multicuisine,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F673303%2Frestaurant020210415084319.jpg,https://www.eazydiner.com/delhi-ncr/the-bridge-restaurant-ds-clarks-inn-gurgaon-673303?deal_types[]=postpaid
Roasted,"Roseate House, New Delhi",₹ 1000,"Bakery,Cafe",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F648369%2Frestaurant020180529111218.jpg,https://www.eazydiner.com/delhi-ncr/roasted-roseate-house-new-delhi-648369?deal_types[]=postpaid
60 ML,"Country Inn & Suites by Radisson, Sector 12, Gurgaon",₹ 1500,"Finger Food,Cocktail Menu",4.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F114580%2Frestaurant020211227045412.jpg,https://www.eazydiner.com/delhi-ncr/60-ml-country-inn-suites-by-carlson-sector-12-114580?deal_types[]=postpaid
World Cafe,"Vibe by the Lalit Traveller, Faridabad",₹ 1000,Multicuisine,4.1,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F111808%2Frestaurant320190503132012.jpeg,https://www.eazydiner.com/delhi-ncr/world-cafe-vibe-by-the-lalit-traveller-mathura-road-111808?deal_types[]=postpaid
The Food Store,"Double Tree by Hilton, Gurgaon",₹ 3000,All Day Dining,4.2,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F112399%2Frestaurant320170303115226.jpg,https://www.eazydiner.com/delhi-ncr/food-store-double-tree-by-hilton-sector-56-112399?deal_types[]=postpaid
The One,"Le Meridien, New Delhi",₹ 3000,All Day Dining,3.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F110705%2FTHE10-01.jpg,https://www.eazydiner.com/delhi-ncr/the-one-le-meridien-janpath-110705?deal_types[]=postpaid
Café Resto,"Jaypee Greens Golf & Spa Resort, Noida",₹ 2000,Multicuisine,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F674470%2Frestaurant120211022050020.jpg,https://www.eazydiner.com/delhi-ncr/cafe-resto-jaypee-greens-golf-spa-resort-noida-674470?deal_types[]=postpaid
Big Box Cafe,"Saidulajab, South Delhi",₹ 800,"Cafe,Multicuisine",4.5,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F672825%2Frestaurant420210119094045.jpg,https://www.eazydiner.com/delhi-ncr/social-street-cafe-saidulajab-south-delhi-672825?deal_types[]=postpaid
Camillo's,"The Manor, New Delhi",₹ 1500,,4.8,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F672245%2Frestaurant020201226103456.jpg,https://www.eazydiner.com/delhi-ncr/camillos-the-manor-new-delhi-672245?deal_types[]=postpaid
Getafix,"Cross Point Mall, Gurgaon",₹ 1200,"Cafe,Healthy Food",4.9,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F648407%2Frestaurant220180828124736.jpg,https://www.eazydiner.com/delhi-ncr/getafix-cross-point-mall-gurgaon-648407?deal_types[]=postpaid
Kokomaē Artisanal Cafe,"Sector 49, Gurgaon",₹ 450,Continental,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683591%2Frestaurant020220520091536.jpg,https://www.eazydiner.com/delhi-ncr/kokomae-artisanal-cafe-sector-49-gurgaon-683591?deal_types[]=postpaid
Liquid Bar & Lounge,"District Centre, Janakpuri",₹ 1000,Multicuisine,5.0,https://d4t7t8y8xqo0t.cloudfront.net/resized/180X200/restaurant%2F683537%2Frestaurant020220513085659.jpeg,https://www.eazydiner.com/delhi-ncr/liquid-bar-lounge-district-centre-janakpuri-683537?deal_types[]=postpaid
